Operators Used,Versions Used,Full Support,Maintenance Support,Next Release,Next Release Date
Advanced Cluster Management for Kubernetes,2.8.1,09/07/2024,10/12/2024,2.9.0,18/10/2023,
Multicluster engine for Kubernetes,2.3.1,08/02/2024,08/08/2024,2.4.0,09/11/2023,
Gatekeeper Operator,0.2.6,08/02/2024,08/08/2024,0.2.7,09/11/2023,
Ansible Automation Platform,2.4.0,27/06/2024,27/06/2025,2.5.0,01/03/2024,
cert-manager operator for Red Hat OpenShift,1.12,31/01/2024,30/04/2024,1.13,01/02/2024,
DevWorkspace Operator,0.22.0,20/01/2024,20/01/2024,0.23.0,20/10/2023,
Red Hat CodeReady Workspaces,2.11.0,14/09/2021,14/01/2022,3.9,20/10/2023,
Red Hat OpenShift Dev Spaces,3.8.0,20/01/2024,20/01/2024,3.9,20/10/2023,
Kubernetes NMState Operator,4.12.0,17/01/2023,17/07/2024,4.14.0,31/10/2023,
Metal LB,4.10.0,10/11/2022,31/12/2023,4.12.0,17/01/2023,
Migration Toolkit for Applications,6.2,31/12/2023,20/02/2024,7,20/02/2024,
Red Hat Service Interconnect,1.4.0,11/07/2024,11/07/2025,1.5.0,30/03/2024,
Red Hat OpenShift Logging,5.7.6,10/06/2023,18/01/2025,5.8,02/11/2023,
OpenShift Elasticsearch Operator,5.7.6,10/06/2023,18/01/2025,5.8,02/11/2023,
Red Hat OpenShift distributed tracing platform,1.42.0,17/08/2023,17/07/2024,2.9,02/11/2023,
Red Hat OpenShift Service Mesh,2.4.0,15/11/2023,15/03/2024,2.5,20/11/2023,
Kiali Operator,1.65.6,15/11/2023,15/03/2024,2.5,20/11/2023,
Red Hat OpenShift Pipelines,1.12,30/02/2024,30/08/2024,1.13,30/02/2024,
Red Hat OpenShift Serverless,1.30.0,30/02/2024,30/08/2024,1.31,30/02/2024,
